post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"XYZ Maker CZ-300",xyzmaker-cz-300,,51,"La XYZMaker CZ-300, es una kit impresora 3D con un gran formato de construcción 30x30x30cm, 30% más robustas que otros kits, unica con certificado de calidad internacional, combatiible con filamento reforzados y componentes sencillos de ensamblar.","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">300x300x300mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">100</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,165,"2020-08-04 11:53:19",1,open,,,,no,no,,2000,500,0,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/cz300-EU.png ! alt :  ! title : cz300-EU ! desc :  ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/Imagen2.png ! alt :  ! title : Imagen2 ! desc :  ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/Imagen1.png ! alt :  ! title : Imagen1 ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/xyzmaker-cz-300/,21,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > FDM (filamento)",,
"Creality Ender 3",creality-ender-3,,244,"<a href=""https://tiendakrear3d.com/producto/creality-ender-3/"">Creality Ender 3</a> es considerada el kit Impresora 3D de bajo costo. Perfecta para inicar en el mundo de la tecnología 3D, capaz de ofrecer impresiones de una calidad sorpredente, espacio de construcción de 22x22x25 cm, una cama magnética, un modo de recuperación después de un fallo en la alimentación y un estrecho conducto de filamento que hace más fácil trabajar con materiales flexibles.
<p style=""text-align: center;""><img class="" wp-image-12581 aligncenter"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-creality-ender-3.webp"" alt=""Creality Ender 3"" width=""469"" height=""366"" /></p>

<h3 style=""text-align: center;""><strong>Creality Ender 3</strong></h3>
<ul style=""display: none;"">
 	<li style=""list-style-type: none;"">
<ul style=""display: none;"">
 	<li>Impresora 3D Open source (permite cualquier tipo de modificación)</li>
 	<li>Filamentos de terceros.</li>
</ul>
</li>
</ul>
<ul style=""display: none;"">
 	<li>Materiales: <strong>PLA, ABS, PETG, Flexible 95A, composites, etc</strong>.</li>
 	<li>Es <strong>silenciosa</strong>.</li>
 	<li>Volumen de impresión por encima del estándar.</li>
 	<li>Económica.</li>
 	<li>Fácil nivelación.</li>
 	<li>Extrusor optimizado.</li>
 	<li>Suministro de energía de alta calidad y segura.</li>
 	<li>Dispone de <strong>cama caliente</strong>.</li>
 	<li>Mejor<strong> estabilidad estructural.</strong></li>
 	<li><strong>Base magnética</strong> de fácil extracción.</li>
 	<li>Fuente de alimentación MeanWell.</li>
 	<li>La plataforma y el fusor calientan más rápido.</li>
</ul>
<a style=""display: none;"" href=""https://www.youtube.com/watch?v=T49m6Zrrva8"">Ver más información</a>","<span class=""producto--tabla--des"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</span>
<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">220x220x250mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">180mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,173,"2020-08-17 14:19:15",6,open,,,,no,no,,1100,1000,10.01,,,,,,instock,no,no,,no,taxable,1414|249|803|8696,7199|3988|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-creality-ender-3.webp ! alt : Creality Ender 3 ! title : Impresora 3D Creality Ender 3 ! desc : Impresora 3D Creality Ender 3 ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-creality-ender-3-side.webp ! alt :  ! title : Impresora 3D Creality Ender 3 ! desc :  ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-creality-ender-3-side2.webp ! alt : Creality Ender 3 ! title : Impresora 3D Creality Ender 3 ! desc : Impresora 3D Creality Ender 3 ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-creality-ender-3-side1.webp ! alt : Creality Ender 3 ! title : Impresora 3D Creality Ender 3 ! desc : Impresora 3D Creality Ender 3 ! caption : ",,https://tiendakrear3d.com/producto/creality-ender-3/,15,Creality,simple,,"Impresoras 3D|Impresoras 3D > FDM (filamento)","Creality Ender 3",
"Creality Ender 3 Pro",creality-ender-3-pro,,249,"<a href=""https://tiendakrear3d.com/producto/creality-ender-3-pro/""><strong>Creality Ender 3 Pro</strong></a> es un kit Impresora 3D perfecta para inicar en el mundo de la tecnología 3D, capaz de ofrecer impresiones de una calidad sorpredente, espacio de construcción de 22x22x25 cm, una cama magnética, un modo de recuperación después de un fallo en la alimentación y un estrecho conducto de filamento que hace más fácil trabajar con materiales flexibles.
<p style=""text-align: center""><img class="" wp-image-11619 aligncenter"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-creality-ender-3-pro-247x300.jpg"" alt=""Creality Ender 3 Pro"" width=""343"" height=""390"" /></p>

<h3 style=""text-align: center""><strong>Creality Ender 3 Pro</strong></h3>
<ul>
 	<li>Materiales: <strong>PLA, ABS, PETG, composites, etc</strong>.</li>
 	<li>Es <strong>silenciosa</strong>.</li>
 	<li>Volumen de impresión por encima del estándar.</li>
 	<li>Económica.</li>
 	<li>Fácil nivelación.</li>
 	<li>Extrusor optimizado.</li>
 	<li>Suministro de energía de alta calidad y segura.</li>
 	<li>Dispone de <strong>cama caliente</strong>.</li>
 	<li>Mejor<strong> estabilidad estructural.</strong></li>
 	<li><strong>Base magnética</strong> de fácil extracción.</li>
 	<li>La plataforma y el fusor calientan más rápido.</li>
</ul>
<a href=""https://www.youtube.com/watch?v=UEAOQvhlGbE"">Ver más información </a>","<span class=""producto--tabla--des"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</span>
<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">220x220x250mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">180mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,175,"2020-08-17 14:23:46",6,open,,,,no,no,,1200,1150,10.01,,,,,,onbackorder,no,no,,no,taxable,1414|803|8696|818,7199|3988|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-creality-ender-3-pro.jpg ! alt : Creality Ender 3 Pro ! title : Creality Ender 3 Pro ! desc : Creality Ender 3 Pro ! caption : ",,https://tiendakrear3d.com/producto/creality-ender-3-pro/,18,Creality,simple,,"Impresoras 3D|Impresoras 3D > FDM (filamento)","Creality Ender 3 Pro",
"Artillery Sidewinder X-1",artillery-sidewinder-x-1,,254,"Artillery Sidewinder X-1 es una <a href=""https://tiendakrear3d.com/productos/impresoras3d/"">impresora 3D</a> con mayúsculas, ofrece una <strong>calidad de impresión difícil de superar</strong>. Su sistema de<strong> extrusión directa</strong> y su <strong>gran versatilidad</strong> le permiten imprimir muy bien con una <strong>amplia gama de materiales</strong>, incluido flexibles, donde supera a la mayoría. Destaca por su sigilosa impresión y rapidez, tanto en<strong> velocidad de impresión</strong>, que es realmente <strong>alta </strong>como en la velocidad de calentamiento de la cama. Esta impresora 3D Artillery tiene de detector de falta de filamento, pausa y reanudación de impresión tras un corte de corriente.
<h2><strong>Características destacadas de la Artillery Sidewinder X1 2021:</strong></h2>
<ul>
 	<li><strong>Volumen de trabajo</strong>: 300*300*400mm</li>
 	<li><strong>Velocidad máxima de impresión</strong>; 150 mm/s</li>
 	<li><strong>Calidad de impresión de alta precisión:</strong> hasta 50 micras</li>
 	<li>Instalación fácil y rendimiento estable.</li>
 	<li>Con diseño de marco de aluminio completo, estructura muy estable</li>
 	<li>Sistema de doble husillo en eje Z</li>
 	<li>Sistema de recuperación de impresión por corte de corriente</li>
 	<li>Detección de final o rotura de filamento</li>
 	<li>Pantalla táctil a todo color</li>
 	<li>Extrusor tipo AERO</li>
 	<li><strong>Muy silenciosa</strong></li>
 	<li><strong>Materiales aceptados para imprimir:</strong> PLA, ABS, PET-G, PLA Flexible, Madera, TPU, PVA, HIPS</li>
</ul>
<a href=""https://tiendakrear3d.com/noticias/artillery-sidewinder-x1-vs-x2-las-diferencias/"">Ver más </a>

&nbsp;

&nbsp;","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">300x300x400mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">150mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Directo</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,197,"2020-08-17 14:29:13",6,open,,,,no,no,,2200,,0,,,,,,outofstock,no,no,,no,taxable,6956|11699|8625|1187,1707|795|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/1_1_grande-1-e1598493323401.jpg ! alt : Artillery Sidewinder X-1 ! title : Artillery Sidewinder X-1 ! desc : Artillery Sidewinder X-1 ! caption : ",,https://tiendakrear3d.com/producto/artillery-sidewinder-x-1/,32,Artillery,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > FDM (filamento)",,
"Artillery Genius",artillery-genius,,260,"La Artillery Genius es una impresora de gama media, muy completa y con una relación calidad-precio manífica Con un montaje facil, silenciosa y con detector de falta de filamento.","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">220x220x250mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">150mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Directo</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,184,"2020-08-17 15:39:50",6,open,,,,no,no,,1600,,0,,,,,,outofstock,no,no,,no,taxable,6951|5837|6360|7175,1707|3988|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/D_NQ_NP_859376-MLA42263755878_062020-O-1.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/artillery-genius/,25,Artillery,simple,exclude-from-catalog|exclude-from-search|outofstock|rated-5,"Impresoras 3D|Impresoras 3D > FDM (filamento)",,
"Anycubic i3 Mega S",anycubic-i3-mega-s,,267,"<a href=""https://tiendakrear3d.com/producto/anycubic-i3-mega-s/"">Anycubic i3 Mega S</a> presenta un marco metálico sólido, muy estable con alta calidad y precisión al imprimir. Posee sensor de filamento y un ensamblado rápido que consta de 8 tornillos y 3 cables antes de la primera impresión.

<img class=""size-medium wp-image-11620 aligncenter"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-anycubic-i3-mega-600x600.webp"" alt=""Anycubic i3 Mega S"" width=""600"" height=""600"" />
<h3 style=""text-align: center"">Anycubic i3 Mega S</h3>
<a href=""https://www.youtube.com/watch?v=boe2yaQUEhY"">Ver más información</a>

","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">210x210x205mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.05-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">100mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,169,"2020-08-17 15:44:09",6,open,,,,no,no,,1250,900,24,,,,,,onbackorder,no,no,,no,taxable,826|6951|11699|5837,7199|3988|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-anycubic-i3-mega.webp ! alt : Anycubic i3 Mega S ! title : Impresora 3D Anycubic i3 Mega S ! desc : Impresora 3D Anycubic i3 Mega S ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-anycubic-i3-mega-lado.webp ! alt : Anycubic i3 Mega S ! title : Impresora 3D Anycubic i3 Mega S ! desc : Impresora 3D Anycubic i3 Mega S ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/impresora-3d-anycubic-i3-mega-lado2.webp ! alt : Anycubic i3 Mega S ! title : Impresora 3D Anycubic i3 Mega S ! desc : Impresora 3D Anycubic i3 Mega S ! caption : ",,https://tiendakrear3d.com/producto/anycubic-i3-mega-s/,14,Anycubic,simple,exclude-from-catalog|exclude-from-search,"Impresoras 3D|Impresoras 3D > FDM (filamento)","Anycubic i3 Mega S",
"XYZ Printing Da Vinci 3 en 1",xyz-printing-da-vinci-3-en-1,,337,"Maquina capaz de imprimir diseños3D, escanear productos 3D con triangulación laser y grabardo con laser. Orientada a carreras como Arquitectura, Ingeniería y diseño.","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">200x200x190mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.02-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">120mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,550,"2020-08-21 12:05:29",6,open,,,,no,no,,11500,1500,73,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/XYZ-Printing-Da-Vinci-3-en-1.png ! alt :  ! title : XYZ Printing Da Vinci 3 en 1 ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/xyz-printing-da-vinci-3-en-1/,1,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada",,
"XYZ Printing Da Vinci Color",xyz-printing-da-vinci-color,,341,"Da Vinci Color, es la primera impresora 3D FFF a todo color que utiliza una Tecnología de Inyección de Tinta CMYK para crear Impresiones 3D en color de alta calidad. Esta Impresora 3D combina la impresión tipo FDM, con un sistema de inyectores de tinta CMYK logrando fabricar prototipos o piezas en color de alta calidad.","<span class=""producto--tabla--des"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</span>
<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">200x200x150mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.1-0.4mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">180mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Bowden</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,196,"2020-08-21 12:27:23",6,open,,,,no,no,,19000,2000,73,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/XYZ-Printing-Da-Vinci-Color.png ! alt :  ! title : XYZ Printing Da Vinci Color ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/xyz-printing-da-vinci-color/,1,XYZPrinting,simple,,"Impresoras 3D|Impresoras 3D > Ensamblada",,
"Raise 3D Pro 2",raise-3d-pro-2,,345,"La Pro 2 es una impresora 3D con doble extrusor industrial de alta resolución, que produce piezas de alta calidad utilizando filamentos premium como PLA, ABS, PETG y otros filamentos más avanzados. Cuenta con certifación ISO 9001 e ISO 14001.","<span class=""producto--tabla--des"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</span>
<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">305x305x300mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.01-0.25mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">150mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Directo</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,228,"2020-08-21 12:42:54",6,open,,,,no,no,,35000,,120,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/Raise-3D-Pro-2.png ! alt :  ! title : Raise 3D Pro 2 ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/raise-3d-pro-2/,0,"Raise 3D",simple,outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada",,
"Raise 3D Pro 2 Plus",raise-3d-pro-2-plus,,347,"<a href=""https://tiendakrear3d.com/producto/raise-3d-pro-2-plus/""><strong>Raise 3D Pro 2 Plus</strong> </a>está diseñada para realizar <strong>impresiones 3D</strong> de dimensiones medias en una gran diversidad de materiales estándar y de nivel técnico.
<p style=""text-align: center;""><img class=""wp-image-11631  alignnone"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/08/Raise-3D-Pro-2-Plus.png"" alt=""Raise 3D Pro 2 Plus"" width=""497"" height=""472"" /></p>

<h3 class=""product_title entry-title"" style=""text-align: center;"">Raise 3D Pro 2 Plus</h3>
<h2>Doble Extrusión</h2>
Gracias a su <strong>extrusor directo</strong> con doble salida, se pueden imprimir en 3D con <strong>doble material y/o doble color</strong>, permitiendo flexibilidad y acabados de calidad en todos los trabajos.
<h4>Extrusión doble accionada electrónicamente con hotends retráctiles</h4>
<ul>
 	<li>Alta repetibilidad (&lt;0,005 mm, 5 micrones)</li>
 	<li>Velocidad del rayo (&lt;1 segundo de tiempo de conmutación)</li>
 	<li>Distancia de elevación de 1,5 mm, compatible con filamentos flexibles</li>
 	<li>Alta confiabilidad (probado ＞ 100,000 veces)</li>
</ul>
Su <strong>extrusor</strong> está capacitado para llegar a un <strong>máximo de 300 ºC</strong>, permitiendo imprimir en una gran variedad de materiales:
<ul>
 	<li><strong>PLA</strong></li>
 	<li><strong>ABS</strong></li>
 	<li><strong>HIPS</strong></li>
 	<li><strong>PC Policarbonato</strong></li>
 	<li><strong>TPU</strong></li>
 	<li><strong>PP Polipropileno</strong></li>
 	<li><strong>Nylon</strong></li>
 	<li><strong>TPE</strong></li>
 	<li><strong>PETG</strong></li>
 	<li>Filamento de <strong>Fibra de Carbono</strong></li>
 	<li>etc..</li>
</ul>
<a href=""https://www.youtube.com/watch?v=pgj37MU1dCc"">Ver más información </a>","<span class=""producto--tabla--des"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</span>
<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tecnología</div>
<div class=""producto--valor"" title="""">FDM</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Volumen de imp.</div>
<div class=""producto--valor"">305x305x605mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Resolución de capa</div>
<div class=""producto--valor"">0.01-0.25mm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Velocidad max.</div>
<div class=""producto--valor"">150mm/s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo de extrusor</div>
<div class=""producto--valor"">Directo</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Diámetro de boquilla</div>
<div class=""producto--valor"">0.4mm</div>
</div>
</div>",publish,,230,"2020-08-21 12:44:42",6,open,,,,no,no,,45000,,120,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/08/Raise-3D-Pro-2-Plus.png ! alt : Raise 3D Pro 2 Plus ! title : Raise 3D Pro 2 Plus ! desc : Raise 3D Pro 2 Plus ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/08/Raise-3D-Pro-2-Plus.jpg ! alt : Raise 3D Pro 2 Plus ! title : Raise 3D Pro 2 Plus ! desc : Raise 3D Pro 2 Plus ! caption : Raise 3D Pro 2 Plus",,https://tiendakrear3d.com/producto/raise-3d-pro-2-plus/,0,"Raise 3D",simple,outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada","impresora 3D|Raise 3D|Raise 3D Pro 2 Plus",
