post_title,post_parent,ID,regular_price,sale_price,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"XYZ Printing Nobel Superfine",,351,14800,1000,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon",,845,1100,500,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon Zero",,847,900,500,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon S",,1192,1800,500,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon Mono",,1195,1350,1100,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono",,,
"Anycubic Photon Mono X",,1199,3250,2500,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono X",,,
"Creality LD-002H",,1744,1300,1100,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality LD-006",,1752,3400,2450,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality|Creality LD-006|impresora 3D|LD-006",,,
"Anycubic Photon Mono SE",,1765,2200,2000,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality UW-01",,1784,800,750,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality Halot Sky",,3423,4700,2200,Creality,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality Halot One",,3427,1500,1100,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality Halot One",,,
"Creality UW-02",,3446,,,Creality,simple,,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon Mono 4K",,5841,1600,1100,Anycubic,simple,exclude-from-catalog|outofstock|rated-5,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality Halot Max",,6049,14000,12500,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality|Creality Halot Max|Halot Max|impresora 3D",,,
"Anycubic Photon Mono X 6K",,6382,3600,2400,Anycubic,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono X 6K",,,
"Anycubic Photon Mono SQ",,6386,2500,900,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono SQ",,,
"Creality Halot Lite",,6402,3300,2000,Creality,simple,exclude-from-catalog,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Creality Halot Lite",,,
"Anycubic Photon Ultra",,6407,3500,1700,Anycubic,simple,,"Características|Características > DLP|Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Ultra",,,
"Creality Halot One Pro",,6944,2300,1550,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality Halot One Pro",,,
"Creality Halot One Plus",,6948,2600,1900,Creality,simple,exclude-from-catalog|outofstock,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Creality Halot One Plus",,,
"Anycubic Photon M3",,6960,2000,1400,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon M3",,,
"Anycubic Photon M3 Plus",,6965,4500,2600,Anycubic,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon M3 Plus",,,
"Anycubic Photon M3 Max",,6992,7000,5600,Anycubic,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina",,,,
"Elegoo Mars 2 Pro",,7149,1300,850,Elegoo,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Elegoo|Elegoo Mars 2 Pro|impresora 3D|Mars 2 Pro",,,
"Elegoo Mars 3 Pro",,7153,1800,1400,Elegoo,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Elegoo|Elegoo Mars 3 Pro|impresora 3D|Mars 3 Pro",,,
"Elegoo Saturn S",,7157,2700,2500,Elegoo,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Elegoo Saturn S",,,
"Elegoo Jupiter",,8684,7000,5700,Elegoo,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Elegoo Jupiter",,,
"Elegoo Saturn 2",,8689,4000,2700,Elegoo,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Elegoo|Elegoo Saturn 2|impresora 3D|Saturn 2",,,
"Phrozen Sonic Mini 8K",,11581,5000,3500,Phrozen,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Phrozen|Phrozen Sonic Mini 8K|Sonic Mini 8K",,,
"Phrozen Sonic Mighty 8K",,11583,7000,5000,Phrozen,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","impresora 3D|Phrozen|Phrozen Sonic Mighty 8K|Sonic Mighty 8K",,,
"Phrozen Sonic Mega 8K",,11595,14000,12000,Phrozen,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","impresora 3D|Phrozen|Phrozen Sonic Mega 8K|Sonic Megan 8K",,,
"Anycubic Photon D2",,11704,4200,3800,Anycubic,simple,,"Características|Características > DLP|Impresoras 3D|Impresoras 3D > Resina",,,,
