post_title,ID,regular_price,sale_price,product_url,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Resina Estandar Transparente Anycubic 500g",1290,100,65,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Gris Anycubic 500g",1324,100,65,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Negra Anycubic 500g",1326,100,65,,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Negra|Resina para impresoras 3D",,,
"Resina Estandar Verde Traslucida Anycubic 500g",1328,110,80,,Anycubic,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Turquesa Anycubic 500g",1330,100,65,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Blanca Anycubic 1Kg",1332,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Blanca|Resina para impresoras 3D",,,
"Resina Estandar Piel (Beige) Anycubic 1Kg",1334,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Piel|Resina para impresoras 3D",,,
"Resina Casteable Anycubic 500g",1336,750,650,,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Casteable",,,,
"Resina Medica Anycubic 500g",1338,300,,,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Biocompatible",,,,
"Resina Estandar Gris Anycubic 1Kg",2127,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Gris|Resina para impresoras 3D",,,
"Resina Estandar Transparente Anycubic 1Kg",2130,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Amarilla Creality 1Kg",3018,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Roja Creality 1Kg",3020,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Verde Creality 1Kg",3022,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Anaranjada Creality 1Kg",3024,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Azul Creality 1Kg",3026,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Piel Creality 1Kg",3028,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Blanca Creality 1Kg",3031,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Gris Creality 1Kg",3033,190,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Flexible Creality 1Kg",3035,500,,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Azul Traslucida 500g",3042,110,100,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Verde Traslucida 500g",3053,110,100,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Rojo Traslucida 500g",3054,110,100,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Transparente 500g",3056,110,100,,Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Casteable Creality 500g",3058,600,400,,Creality,simple,,"Aplicaciones|Aplicaciones > Joyería|Resinas|Resinas > Casteable","Resina Casteable|Resina de impresoras 3D",,,
"Resina Estandar Negra Anycubic 1Kg",3114,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Verde Traslucida Anycubic 1Kg",5951,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Turquesa Anycubic 1Kg",6924,170,120,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Lavable al Agua Gris Anycubic 1Kg",6925,210,150,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Lavable al Agua Blanca Anycubic 1Kg",6927,210,150,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Lavable al Agua Negra Anycubic 1Kg",6929,210,150,,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
