post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"XYZ Maker CZ-300",0,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Filamento",,,,
"Creality Ender 3",10.01,Creality,simple,,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3",,,
"Creality Ender 3 Pro",10.01,Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3 Pro",,,
"Artillery Sidewinder X1",0,Artillery,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Filamento",,,,
"Artillery Genius",0,Artillery,simple,exclude-from-catalog|exclude-from-search|outofstock|rated-5,"Impresoras 3D|Impresoras 3D > Filamento",,,,
"Anycubic i3 Mega S",24,Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Anycubic i3 Mega S",,,
"XYZ Printing Da Vinci 3 en 1",73,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada",,,,
"XYZ Printing Da Vinci Color",73,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada",,,,
"Raise 3D Pro 2",120,"Raise 3D",simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada",,,,
"Raise 3D Pro 2 Plus",120,"Raise 3D",simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Ensamblada","impresora 3D|Raise 3D|Raise 3D Pro 2 Plus",,,
"Raise 3D E2",73,"Raise 3D",simple,,"Características|Características > Cartesiana|Características > Cerrada|Características > Alta Temperatura|Características > Doble Extrusor|Impresoras 3D|Impresoras 3D > Ensamblada","impresora 3D|Raise 3D E2",,,
"XYZ Printing Nobel Superfine",31,XYZPrinting,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Bloque calentador tipo Volcano",0.01,Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"PolyDissolve S1 1.75mm 750g",1.5,Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Transparente,0|1|0
"PolyLite ASA Blanco 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Blanco,0|1|0
"PolyCast Natural 1.75mm 750g",1.5,Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Natural,0|1|0
"PolyMide CoPA Natural (1.75mm, 750g)",1.5,Polymaker,simple,exclude-from-catalog|exclude-from-search,"Filamentos|Filamentos > Nylon",,,,
"PolyLite PETG Transparente 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PETG",,,Transparente,0|1|0
